IDENT	LATITUDE	LONGITUDE
DORER	50,46583333	27,20777777
OKROT	50,70694444	27,34888888
OSMUS	53,89472222	26,7225
KOMEN	53,37638888	25,00305555
PINUG	52,9275	25,69777777
BABUN	52,18138888	28,78138888
LOVIK	52,08333333	31,015
IRKAL	54,484	24,21997222
VAKAL	54,86972222	23,20805555
LISGO	56,13888888	25,57138888
BALIT	55,81027777	19,09111111
TIGNU	55,60361111	19,83833333
KOLJA	56	16,81466666
TESPO	56,33777777	17,22861111
NILEN	56,72897222	13,32183333
GUNPA	61	0
REPKU	58,80594772	10,60814061
FWE	52,41132955	14,13058969
KLF	52,01935205	13,56341327
HAM	53,68557533	10,20499713
DKB	49,14275355	10,2383043
RKN	52,13319722	6,76387777
SPY	52,54028055	4,85378055
VAKNU	50,474166667	19,150277778
XEVLU	50,09565	19,912805556
VAMPU	51,865833333	19,125
NORNO	53,776944444	22,789166667
SUBIX	52,379855556	14,585602778
VIZAN	54,65	17,647777778
XERPA	54,959166667	16,761111111
ZENIT	54,673055556	25,735277778
LAFAT	54,831111111	25,778611111
EEL	53,16390555	6,666675
OSN	52,20013566	8,28552058
KSC	48,68308888	21,24816666
NIT	48,29043611	18,05063888
NIROV	48,96638888	28,84916666
LAPVA	50,45638888	28,6925
SLV	50,18679166	29,57014166
MNS	53,88444444	28,02063888
VNO	54,63605555	25,29363055
ROE	55,06557777	14,75869166
SVD	56,16886111	12,57377777
TRS	58,93791666	17,50222222
TOR	59,16911161	10,25926641
ETIPA	48,7125	17,55444444
OSKOK	62,31965277	12,26220277
TURAT	53,80805555	32,14222222
DEVNI	57,21661111	13,92677777
GEVRU	60,74277777	14,32983333
ROMOL	47,73555555	25,0475
SIPSI	58,92402777	12,95777777
BUGOR	53,21666666	32,46472222
INSUV	59,92562222	11,11405027
PR912	49,95405	14,56237222
ARVEG	49,99899166	14,68395833
ALAMU	47,73685277	18,33013055
BADOR	47,57354166	22,10792222
ESEBA	60,01271158	12,392346
RONUS	56,09027777	20,49555555
BORAT	51,46638888	29,58666666
OTRIV	54,16361111	22,19777777
BARGU	53,99722222	21,25305555
NVO	50,822678528	6,63654025
SOMVO	54,11194444	19,74222222
UMVIT	53,38333333	20,66666666
IVDIR	52,83333333	21,75
BALAP	48,067997222	19,249952778
ABAKU	51,676944444	19,081388889
APTAS	50,911388889	17,695833333
BABKO	49,611666667	19,469444444
BAREX	50,894444444	18,738333333
BAVOK	50,002777778	18,195277778
DINOV	50,928611111	16,085555556
GODLO	51,003888889	16,504166667
KELOD	52,233888861	15,883333472
KUKAM	50,806111111	20,060555556
KURON	50,631666667	20,148055556
LUXAR	49,93	21,175277778
MAPIK	50,526111111	18,2475
MEBAN	49,455	19,646666667
NAVUR	51,013055556	19,911111111
NUDRO	51,165277778	17,325555556
NUMBA	50,375555556	18,108611111
OBOLA	52,194444444	16,211388889
PADKA	49,933883333	18,283269444
PEKOT	50,388333333	17,443333333
POBOK	50,583055556	20,218888889
SUDOL	50,653333333	18,411666667
UTOLU	51,896944444	18,8675
VAPOS	54,795277722	17,82666675
VELAX	50,488888889	22,520555556
VENES	51,148888889	21,910555556
DEXIR	54,224166667	17,448888917
ABSEL	51,926726194	20,525494139
AGAVA	51,581411	19,960744
BAMSO	52,335855417	21,909596222
BAXIS	51,808611111	18,863888889
BIMPA	52,374382583	19,774719056
DINVA	52,229783	21,064907
EREDA	51,848372556	20,634456722
EVINA	51,387777861	20,359999861
GILAL	52,026795333	20,547889889
INRAS	52,498986083	20,792182944
INSON	52,496944472	20,9580555
KUMUT	51,954229	21,390091
LIMVI	51,745	21,685555583
LOGDA	51,2844445	20,693888806
LOLSI	52,177463722	19,871387139
MAKUS	52,15277775	20,500833278
MAPIX	51,982108	21,292508
NEGEN	51,871873	21,069654
NEPOX	52,159179361	21,999186222
NETIR	49,694663889	18,708997222
NIMIS	52,258260472	20,962393472
NIPUS	51,652992583	20,399951611
NITKI	51,948924694	20,572298
OLILA	52,704444389	20,328333333
REBSO	52,271118	21,028803
RIKNO	52,105244	21,503629
SISLU	51,950257	21,307094
SORIX	52,695277778	19,819999889
IPRUX	49,495377778	13,223319444
EMBIK	50,208055556	18,103055556
AKAPI	51,92	16,472777833
ERNOX	52,026666639	16,020555528
SOXER	52,043837444	19,934983361
TIGTU	52,133286	21,405536
TISTA	51,748892194	21,147369389
XENOM	51,765981222	20,748480694
XIMBA	51,655833417	21,42777775
ADVAB	52,130613889	16,727133333
DOMOB	52,567277778	20,746388889
NILPU	51,952777778	17,175
EPOPA	50,368055556	17,799722222
KOSEX	54,12623025	17,536195
LUNUK	51,448888889	18,0575
RATOR	53,963664389	17,8804485
ULGIL	51,098611111	16,02
UVIVI	51,5875	17,883333333
GOVRI	50,107019694	21,031666667
RODEV	52,603388889	20,557555556
BITVA	52,346111111	21,086472222
XIBOL	51,806027778	20,488777778
DOPOX	52,290388889	21,121222222
TISEX	52,34375	21,15525
VADOL	51,289722222	22,1025
GATPO	51,420488583	16,860797056
ABIBO	53,1075	17,537777778
BAVGO	53,245833333	18,251111111
GOBNI	53,371388889	18,491388889
INTUN	53,1675	18,696666667
LUXUD	53,1125	17,265833333
NUDMO	53,144722222	18,452222222
KUXEN	52,407694444	20,198444444
IRLUN	53,750555556	18,614722222
OGDAV	54,801944444	17,998333333
OSLOG	53,765833333	18,753611111
VAGNI	51,238888889	15,984166667
DILMU	52,330277778	21,344944444
NIKMI	54,201388889	19,145
VIDEV	51,522055555	19,802527778
ADOXO	52,103111111	19,507222222
XENGO	50,267978694	20,464041111
UPMAK	50,690369111	19,723483833
ULNOD	50,300398833	19,770672555
ODSOB	50,386097194	19,032204389
MODGU	49,746240806	20,416106361
ERPOK	49,949948222	20,115311695
EMKUX	49,654222222	19,690555556
ERKEB	49,573430306	20,806947833
LOBMU	50,770874917	19,628441555
NOVGA	50,315112139	18,461692778
ETEDI	53,592222222	19,871388889
IXIXI	53,684444444	19,891111111
