IDENT	LATITUDE	LONGITUDE
WR642	50,938857444	16,422075972
WR707	51,422585	17,161525361
WR706	51,052915444	17,376776944
WR704	50,970830222	17,312455028
WR712	51,315555556	17,5525
WR711	51,20992025	17,481562778
WR722	50,845451139	17,744343917
WR721	50,933913944	17,430573361
WR732	50,657355528	17,541827222
WR731	50,851863944	17,366322611
WR743	50,912036028	16,490595833
WR742	50,925446944	17,130218944
WR741	50,888716	17,248363667
WR754	51,174103389	16,233645778
WR753	51,088802583	16,558481583
WR752	51,058898056	16,695842944
WR751	51,022627833	16,814676944
GD421	54,325726513	18,675125128
GD411	54,343324656	18,604428989
GD422	54,483244879	18,787053638
GD423	54,637427861	18,140236917
GD511	54,426270756	18,26815885
GD512	54,349586775	18,213053084
GD513	54,314155484	18,357354033
GD514	54,338041228	18,601640155
GD521	54,594553573	18,089630335
GD531	54,128239528	18,362984917
GD532	53,839082722	18,556274868
GD823	54,670139333	18,163746167
GD822	54,528662806	18,217147611
GD821	54,560663361	18,085226389
GD803	54,483891083	18,030331167
GD802	54,425555556	18,270944444
GD801	54,415916667	18,310388889
GD831	54,386396556	18,7943155
GD841	53,982058417	18,423299222
GD809	54,342861944	18,240193139
GD808	54,37515475	18,107462306
GD807	54,407008861	17,975747139
GD806	54,438680083	17,844001222
GD804	54,515618639	17,898382806
GD811	54,193511861	18,112020306
GD926	54,674320028	18,164555139
GD924	54,425404944	18,637759056
GD923	54,392749694	18,768862028
GD922	54,359953944	18,899760417
GD921	54,327018167	19,030453778
GD903	54,250686917	18,974097111
GD902	54,309581861	18,739804472
GD933	53,940498417	18,761890639
GD932	54,120948556	18,770623972
GD931	54,163308083	18,601557278
GD909	54,239812722	18,657119833
GD908	54,207133028	18,787628833
GD907	54,174313694	18,917935167
GD906	54,141354667	19,048038444
GD904	54,217670028	19,1043925
GD912	54,192132611	18,17341425
GD911	54,219952639	18,453147056
LL501	51,776086389	19,624805555
LL712	51,87216225	19,570835556
LL702	51,801989667	19,248106916
LL701	51,774185083	19,121618305
LL706	51,723497858	19,292776159
LL704	51,852610857	19,076601984
LL703	51,880463301	19,203282554
LL526	51,874350022	19,569603359
LL524	51,896222345	19,671243417
LL522	51,797911894	19,726251172
LL528	51,691992235	19,643489625
LL527	51,719241159	19,770087672
LL523	51,819649663	19,827794182
LL601	51,694095781	19,271116259
LL602	51,772579811	19,226438455
LL606	51,79474422	19,327664534
LL608	51,779422826	19,542125643
LL603	51,788175197	19,084716687
LL604	51,943621814	19,46326994
LL801	51,756657764	19,558191291
LL802	51,857193921	19,501568061
LL803	51,877047235	19,191820857
LL804	51,698189435	19,727607915
GD952	54,311166667	18,733527778
GD951	54,321	18,694305556
GD441	54,320944444	18,694277778
KK703	50,096155694	19,276543333
KT759	50,561569639	19,353629167
KT752	50,061860083	19,688821917
KT549	50,269579028	18,774955472
KK801	50,097951917	19,930815528
KK802	50,247060028	19,934902028
KK808	50,170518361	20,467187111
KK611	50,317848889	19,768588639
LL401	51,847222222	19,182777778
LL402	51,919166667	19,573611111
LL403	51,943888889	19,818888889
LL404	51,673888889	19,696666667
KK363	50,0955	19,912833333
KT873	49,711694444	20,488055556
KT874	49,588166667	20,559166667
KK621	49,858833333	19,576833333
KK622	49,76	19,792222222
KK623	49,653944444	20,054916667
KK624	49,586666667	20,220194444
LL532	51,748611111	19,521027778
LL531	51,760666667	19,57675
WA728	52,114166667	21,150138889
WA612	52,261555556	20,883166667
WA613	52,281305556	20,865805556
WR653	50,985638889	17,264805556
MO998	52,470583333	20,85975
MO823	52,428583333	20,413722222
WA609	52,030694444	20,953222222
WA608	52,063416667	21,034666667
WA607	52,166833333	21,197555556
WA602	52,153194444	21,011833333
SY367	53,306777778	20,840111111
AEPZW	54,278055556	22,537777778
AEPZL	52,6355	20,070222222
AEPNG	49,741444444	20,722472222
AEPKU	51,875333333	21,003083333
AEPKD	51,255833333	20,472777778
AEPHN	52,9075	23,543611111
AEPBI	51,6075	21,004166667
EPRUN	50,966666667	19,277222222
AEPIR	52,828611111	18,330288889
AEPJG	50,898825	15,785508333
AEPJL	50,008333333	22,918333333
AEPKA	50,896819444	20,731561111
AEPKB	52,319166667	18,167777778
AEPKE	54,049683333	21,426247222
AEPKG	54,200230556	15,6842
AEPKI	53,982916667	20,877111111
AEPKK	50,077730556	19,784836111
AEPKL	50,898416667	20,128694444
AEPKM	50,2383	19,033983333
AEPKN	50,529108333	18,085175
AEPKO	54,129666667	17,845305556
AEPKP	50,087291667	20,202863889
AEPKS	52,331933333	16,966594444
AEPKT	50,474252778	19,080019444
AEPKW	49,940836111	19,020825
AEPLB	51,240169444	22,713525
AEPLK	51,551666667	19,179058333
AEPLL	51,721880556	19,398133333
AEPLR	51,221802778	22,394555556
AEPLS	51,835019444	16,521838889
AEPLU	51,423008333	16,196158333
AEPLY	52,005	19,143888889
AEPMB	54,026555556	19,135625
AEPMG	53,824722222	21,318333333
AEPMI	53,395	16,082777778
AEPML	50,322275	21,462130556
AEPMM	52,195558333	21,655897222
AEPMO	52,451222222	20,651861111
AEPMR	50,959069444	16,7703
AEPNA	53,455	16,49
AEPND	50,423611111	21,796944444
AEPNL	49,745541667	20,623541667
AEPNM	51,627202778	20,535363889
AEPNT	49,462627778	20,050291667
AEPOD	53,772941667	20,414969444
AEPOK	54,579630556	18,517158333
AEPOM	51,702477778	17,846808333
AEPOP	50,633208333	17,781713889
AEPPB	52,534722222	17,215833333
AEPPI	53,162569444	16,712477778
AEPPK	52,433886111	17,044002778
AEPPL	52,562241667	19,721283333
AEPPO	52,421030556	16,826325
AEPPR	54,248055556	18,671111111
AEPPT	51,382569444	19,688522222
AEPPW	52,379166667	17,852222222
AEPPZ	53,009944444	20,933194444
AEPRA	51,388827778	21,211619444
AEPRG	50,070916667	18,628416667
AEPRJ	50,104163889	22,047055556
AEPRP	51,479011111	21,110033333
AEPRZ	50,109958333	22,019
AEPSC	53,584730556	14,902205556
AEPSD	53,392113889	14,633775
AEPSJ	51,9525	21,3525
AEPSK	54,408427778	17,095625
AEPSN	53,790555556	15,826388889
AEPSW	51,231052778	22,696611111
AEPSY	53,481858333	20,937691667
AEPTM	51,584444444	20,097222222
AEPTO	53,029211111	18,545894444
AEPWA	52,16575	20,967122222
AEPWC	50,8825	16,319166667
AEPWI	54,553333333	16,620833333
AEPWK	52,584616667	19,015494444
AEPWR	51,102777778	16,885833333
AEPWS	51,205855556	16,998186111
AEPWT	53,298611111	18,414166667
AEPZA	50,701808333	23,204255556
AEPZB	52,366338889	16,63175
AEPZE	52,322488889	17,040852778
AEPZG	52,138516667	15,798555556
AEPZN	51,626777778	15,405211111
AEPZP	51,978941667	15,463822222
AEPZR	49,771058333	19,218030556
KT398	50,476277778	18,764
MO833	52,457388889	20,717805556
KDER8	50,475960583	19,100138417
KT837	50,475379411	19,282978316
KT838	50,385370944	19,282102468
KT868	49,833303878	19,411456801
KT843	50,662584204	19,314472247
KT844	50,661143776	19,11465409
KT861	50,656373335	18,642849703
KT862	50,175455015	18,878700645
KT864	50,05440966	18,765209167
KT846	50,765959633	19,019374037
KT863	50,105979588	18,693859971
KT869	50,04714411	18,538360046
KDER9	50,476050277	19,059569445
KT644	50,476277865	18,874680628
KT662	50,341946583	18,872636908
KT668	50,221827116	19,194700655
KT648	50,656641831	18,696034661
KT651	50,654480923	18,503724971
KT661	50,131042581	18,241613584
KT649	50,732498667	18,670127456
PO506	52,542775	16,192433333
KT411	50,47675	18,751361111
KT373	50,408666667	18,626777778
AEPAR	49,658611111	22,515833333
AEPMX	52,666583333	20,428611111
AEPPD	54,215555556	18,339166667
AEPPN	52,723638889	20,420083333
KK599	50,057138889	19,637777778
KK606	50,138833333	19,61
WA901	52,180416667	20,914777778
WA902	52,179333333	20,835111111
WA903	52,19775	20,704
WA921	52,156972222	20,7105
WA931	52,218670543	20,87860687
WA932	52,265166666	20,799166667
WA401	52,126668945	21,001249972
WA404	52,095641306	21,167903056
WA403	52,013972938	21,04127113
WA402	52,035779729	20,924566825
AEPWL	53,47475	18,841416667
AEPBE	51,401472222	19,378444444
WA657	52,187279694	21,247758639
SY366	53,363737333	20,652816722
SY368	53,396555556	20,890027778
AEPPM	53,108722222	16,761138889
AEPGB	54,1975	18,0025
AEPPS	53,144972222	16,881972222
KT581	50,492083333	18,793694444
AEPWO	50,846638889	19,988805556
AEPGN	51,028055556	20,403055556
AEPMP	49,721977778	19,695941667
AEPRY	49,743694444	19,101305556
WA801	52,213089973	20,925687222
WA802	52,187987278	20,689239917
WA803	52,245527289	20,781171571
AEPMY	52,941258333	15,029822222
SY357	53,712681083	20,910489861
SY361	53,452995056	20,353831417
SY362	53,815197167	20,987086583
SY363	53,531539722	20,970273694
SY364	53,562372222	20,798923361
SY411	53,548795333	20,975237667
SY412	53,616429556	20,787130083
SY413	53,565927	20,44636425
SY414	53,471327444	20,407340583
SY416	53,681001	21,121812861
SY417	53,744679083	21,192812611
SY511	53,413990167	20,899757556
SY512	53,443680444	20,750110722
