EPWS	51,205855556	16,998186111
EPPJ    51,028833333	20,154694444
EPSZ	51,223888889	21,862222222
EPLA	51,223055556	22,551666667
EPLP	49,697222222	19,098055556
EPAH	54,291388889	18,429166667
EPWH	51,565	15,591111111
EPWE	51,560833333	15,585
EPRJ	50,104163889	22,047055556
EPST	50,626388889	21,998888889
EPBC	52,269183333	20,907216667
EPLR	51,223333333	22,393888889
EPKM	50,2383	19,033983333
EPUL	51,615094444	22,087047222
EPFP	52,479722222	17,768333333
EPSK	54,409444444	17,096111111
EPMR	50,959069444	16,7703
EPBW	49,723055556	22,025277778
EPZD	52,440833333	17,001944444
EPHK	50,055277778	19,975277778
EPWP	53,139444444	16,779166667
EPAW	52,080563889	20,853388889
EPWR	51,102777778	16,885833333
EPSC	53,584730556	14,902205556
EPEL	54,140886111	19,42335
EPZE	52,322488889	17,040852778
EPAA	52,119294444	20,869783333
EPSB	52,182138889	21,28925
EPBT	49,327047222	20,093675
EPRS	52,241944444	20,126944444
EPKL	50,898416667	20,128694444
EPWC	50,8825	16,319166667
EPPI	53,169722222	16,710555556
EPJL	50,008333333	22,918333333
EPDB	53,524444444	17,258333333
EPPD	54,215555556	18,339166667
EPCH	52,783777778	23,426944444
EPWM	52,284916667	20,8685
EPBO	53,951111111	17,947777778
EPMX	52,666583333	20,428611111
EPPN	52,723638889	20,420083333
EPAR	49,658611111	22,515833333
EPWL	53,47475	18,841416667
EPBE	51,401472222	19,378444444
EPPS	53,144972222	16,881972222
EPPM	53,108722222	16,761138889
EPGB	54,1975	18,0025
EPWO	50,846638889	19,988805556
EPGN	51,028055556	20,403055556
EPMP	49,721977778	19,695941667
EPRY	49,743694444	19,101305556
EPKN	50,529108333	18,085175
EPGO	52,184425	21,281338889
EPKE	54,049683333	21,426247222
EPWT	53,298611111	18,414166667
EPKW	49,940836111	19,020825
EPEK	53,807222222	22,540833333
EPZK	51,360480556	18,822422222
EPKR	49,677813889	21,74495
EPPL	52,561944444	19,719722222
EPHN	52,9075	23,543611111
EPZL	52,6355	20,070222222
EPKD	51,255833333	20,472777778
EPNG	49,741444444	20,722472222
EPKU	51,875333333	21,003083333
EPBI	51,6075	21,004166667
EPZW	54,278055556	22,537777778
EPSW	51,231052778	22,696611111
EPOM	51,702477778	17,846808333
EPGY	52,836975	21,777636111
EPKO	54,129666667	17,845305556
EPTO	53,029211111	18,545894444
EPRA	51,388827778	21,211619444
EPCE	54,4162	17,763302778
EPDA	54,404783333	16,353061111
EPJD	50,612888889	19,297288889
EPDR	53,474805556	15,737891667
EPBA	49,804997222	19,002019444
EPNM	51,627202778	20,535363889
EPZN	51,626777778	15,405211111
EPZB	52,366338889	16,63175
EPGR	53,608055556	20,344444444
EPKB	52,319166667	18,167777778
EPKI	53,982916667	20,877111111
EPNA	53,455	16,49
EPPZ	53,009944444	20,933194444
EPIN	52,806341667	18,285788889
EPPK	52,433886111	17,044002778
EPWI	54,553333333	16,620833333
EPSJ	51,9525	21,3525
EPND	50,423611111	21,796944444
EPGM	54,005691667	21,820525
EPMG	53,824722222	21,318333333
EPBB	53,668055556	21,254722222
EPMY	52,941258333	15,029822222
EPJS	50,944125	15,766905556
EPKG	54,200230556	15,6842
EPRU	50,884819444	19,203005556
EPNB	52,065444444	20,030777778
EPKC	50,084138889	19,991111111
EPAS	54,291111111	18,425277778
EPMA	49,88055	19,4668
EPLU	51,423008333	16,196158333
EPSA	49,57575	22,202138889
EPJG	50,898825	15,785508333
EPPT	51,382569444	19,688522222
EPRP	51,479011111	21,110033333
EPRG	50,070622222	18,628911111
EPZP	51,979725	15,464188889
EPZR	49,771058333	19,218030556
EPOD	53,772941667	20,414969444
EPZA	50,700844444	23,204816667
EPPY	50,006611111	18,962
EPDK	51,612638889	23,007138889
EPPA	50,244694444	18,0235
EPNT	49,462627778	20,050291667
EPOK	54,579630556	18,517158333
EPOP	50,633208333	17,781713889
EPKA	50,896819444	20,731561111
EPKP	50,087291667	20,202863889
EPDS	50,796083333	16,115361111
EPGS	51,875486111	20,937738889
EPBH	53,21025	18,101652778
EPIR	52,828611111	18,330288889
EPLL	51,721880556	19,398133333
EPLB	51,240169444	22,713525
EPLI	54,008055556	18,5
EPSS	50,817222222	16,582222222
EPCT	51,64905	18,562333333
EPBK	53,101388889	23,170666667
EPKK	50,077730556	19,784836111
EPSI	51,535611111	18,801333333
EPKH	54,050222222	16,279594444
EPSL	51,231980556	22,690325
EPPG	52,235091667	16,240975
EPKT	50,474252778	19,080019444
EPGE	53,983366667	22,402125
EPAU	52,371388889	16,584722222
EPPB	52,536111111	17,214166667
EPGI	53,524419444	18,849325
EPSD	53,390694444	14,632333333
EPBD	52,674916667	15,361666667
EPML	50,322275	21,462130556
EPWK	52,584616667	19,015494444
EPGH	54,0349	21,799805556
EPMK	54,059472222	19,006222222
EPLK	51,551111111	19,1825
EPLY	52,005	19,143888889
EPMM	52,195558333	21,655897222
EPMO	52,451222222	20,651861111
EPRD	54,133722222	21,598611111
EPPW	52,379166667	17,852222222
EPSY	53,481866667	20,937691667
EPDE	51,551111111	21,891944444
EPTM	51,584444444	20,097222222
EPBY	53,096802778	17,977669444
EPMB	54,026555556	19,135625
EPPO	52,421030556	16,826325
EPDL	51,997666667	20,502583333
EPHC	52,433611111	17,035277778
EPPR	54,248055556	18,671111111
EPLS	51,835019444	16,521838889
EPRZ	50,109958333	22,019
EPKS	52,331933333	16,966594444
EPMI	53,395	16,082777778
EPSN	53,790555556	15,826388889
EPNL	49,745194444	20,623222222
EPZT	49,96	19,403611111
EPZI	53,188611111	18,961388889
EPSU	54,074083333	22,893611111
EPNI	50,372952778	19,420444444
EPBX	52,006972222	23,085777778
EPGD	54,377569444	18,466222222
EPCM	52,165	16,764166667
EPGL	50,269416667	18,672791667
EPWA	52,16575	20,967122222
EPSX	51,457666667	20,679805556
EPCZ	50,306355556	19,1101
EPCD	51,081944444	23,437391667
EPMW	49,886111111	19,508055556
EPDJ	52,362055556	21,266194444
EPJE	53,908333333	22,234166667
EPBS	50,838055556	16,515277778
EPDZ	50,746388889	16,625555556
EPZG	52,138516667	15,798555556
EPNC	52,573888889	20,871666667
EPBR	51,055541667	16,012636111
EPLD	51,589633333	19,254338889
EPGU	52,693361111	15,216444444
